title,description,author,year,publisher,ratings
罪与罚,关于爱情与独立的小说。,约翰·斯坦贝克,1934,达顿,1.5
简·爱,探讨未来社会的反乌托邦小说。,J.D.塞林格,2011,学乐出版社,4.8
愤怒的葡萄,关于霍比特人冒险的奇幻小说。,阿道司·赫胥黎,1962,哈珀兄弟,1.6
奥德赛,探讨未来社会的反乌托邦小说。,奥斯卡·王尔德,1900,塞克与瓦伯格,1.4
星运里的错,关于美国梦和20世纪20年代的小说。,弗·司各特·菲茨杰拉德,1961,哈珀兄弟,2.4
了不起的盖茨比,关于爱情与独立的小说。,保罗·科埃略,1931,小布朗公司,1.6
麦田里的守望者,史诗般的权力斗争奇幻故事。,荷马,1933,小布朗公司,2.6
愤怒的葡萄,关于霍比特人冒险的奇幻小说。,约翰·格林,1901,小布朗公司,2.0
杀死一只知更鸟,关于个人传奇与命运的哲理故事。,荷马,1965,乔治·艾伦与昂温,2.4
华氏451,美学与道德双重性故事。,荷马,1942,哈珀兄弟,2.4
白鲸,史诗般的权力斗争奇幻故事。,列夫·托尔斯泰,1996,乔治·艾伦与昂温,2.2
星运里的错,二战期间一个犹太女孩的感人日记。,J.R.R.托尔金,1911,J.B.李皮科特公司,3.3
1984,关于特洛伊战争后返乡的史诗。,列夫·托尔斯泰,2008,查尔斯·斯克里布纳之子公司,4.1
战争与和平,关于美国梦和20世纪20年代的小说。,约翰·斯坦贝克,1910,巴兰丁书籍,3.2
杀死一只知更鸟,史诗般的权力斗争奇幻故事。,赫尔曼·梅尔维尔,1949,小布朗公司,1.3
年轻女孩的日记,史诗般的权力斗争奇幻故事。,保罗·科埃略,1980,维京出版社,4.4
霍比特人,关于爱情与独立的小说。,列夫·托尔斯泰,1924,乔治·艾伦与昂温,3.2
道林·格雷的画像,探讨未来社会的反乌托邦小说。,简·奥斯汀,1960,塞克与瓦伯格,1.2
战争与和平,关于道德与犯罪的心理惊悚小说。,J.D.塞林格,1952,学乐出版社,2.6
星运里的错,关于美国梦和20世纪20年代的小说。,赫尔曼·梅尔维尔,1954,达顿,1.7
